"","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"configural2",153,39187.3997523721,39773.183093912,1685.2241254615,NA,NA,NA
"weak2",171,39279.8958115443,39775.5586390012,1813.72018463376,128.496059172253,18,1.02681166491959e-18
"strong2",189,39388.6080943989,39794.1504077727,1958.43246748837,144.712282854616,18,7.87924820203642e-22
"strict2",213,39857.1351063119,40142.5167342416,2474.95947940135,516.527011912976,24,6.13688202792103e-94
