"","candidate.id","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","long"
"34",252452,1,1,5,1,1,4,1,1,1,1,2,1,4
"35",252456,1,3,6,1,1,6,5,1,1,1,1,2,4
"36",252469,4,2,5,2,2,5,2,2,4,3,2,2,2
"37",252499,3,1,5,1,1,5,2,1,4,3,1,4,2
"38",252500,2,1,6,1,2,6,2,1,1,2,1,4,2
"39",252538,2,2,5,1,2,4,3,1,5,4,3,4,2
"40",252549,5,1,6,3,4,5,4,1,4,5,2,5,1
"41",252648,1,1,5,1,1,5,1,1,4,1,1,5,2
"42",252649,4,3,5,1,1,5,4,1,4,1,1,4,2
"43",252656,2,1,5,1,1,5,1,1,5,1,1,1,3
"44",252675,5,3,5,3,2,4,4,2,6,4,4,4,3
"45",252677,3,1,5,1,1,5,1,1,5,2,6,4,2
"46",252687,5,5,6,4,6,6,2,1,6,6,5,6,2
"47",252690,2,2,6,1,1,5,1,1,5,1,1,4,2
"48",252693,5,4,4,5,6,5,3,5,6,5,2,6,2
"49",252698,2,2,5,1,1,5,1,1,2,1,2,2,2
"50",252702,1,1,5,1,1,5,1,1,4,1,1,5,2
"51",252704,4,3,4,1,1,4,1,1,1,4,1,4,3
"52",252712,6,1,2,1,1,1,6,5,2,6,2,2,3
"53",252720,1,2,5,1,1,5,2,1,5,1,1,4,2
"54",252721,2,2,5,1,1,5,2,4,4,2,3,2,2
"55",252746,2,2,5,1,1,4,1,1,2,1,2,4,2
"56",252752,3,3,5,1,1,4,3,1,3,2,2,4,2
"57",252753,1,1,5,1,1,5,1,1,5,1,1,5,2
"58",252761,1,2,4,1,1,4,1,1,1,1,1,1,6
"59",252767,2,4,6,3,1,5,1,1,2,3,5,5,2
"60",252769,2,2,5,1,1,4,3,1,2,1,6,4,2
"61",252772,1,1,4,1,1,4,1,1,4,1,2,2,2
"62",252777,2,2,4,1,1,4,1,1,2,1,2,3,2
"63",252778,1,4,4,1,5,4,1,4,3,1,2,3,2
"64",252785,3,5,4,1,1,5,1,1,4,2,3,4,2
"65",252789,2,1,5,1,1,5,1,1,1,1,1,5,5
"66",252791,1,1,5,1,1,5,1,1,1,1,6,5,4
"67",252794,1,1,5,1,1,5,1,1,2,1,4,3,2
