"","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"configural",153,37059.454222622,37639.5926846378,1407.67382637099,NA,NA,NA
"weak",171,37134.7092098373,37625.5956007738,1518.92881358632,111.254987215328,18,1.83676728912291e-15
"strong",189,37230.254569541,37631.8888893981,1650.47417328999,131.54535970367,18,2.688151233399e-19
"strict",213,37670.3598838814,37952.9914422994,2138.57948763041,488.105314340424,24,4.90211209276567e-88
