"","candidate.id","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41"
"52",252712,6,1,2,1,1,1,6,5,2,6,2,2
"53",252720,1,2,5,1,1,5,2,1,5,1,1,4
"54",252721,2,2,5,1,1,5,2,4,4,2,3,2
"55",252746,2,2,5,1,1,4,1,1,2,1,2,4
"56",252752,3,3,5,1,1,4,3,1,3,2,2,4
"57",252753,1,1,5,1,1,5,1,1,5,1,1,5
"58",252761,1,2,4,1,1,4,1,1,1,1,1,1
"59",252767,2,4,6,3,1,5,1,1,2,3,5,5
"60",252769,2,2,5,1,1,4,3,1,2,1,6,4
"61",252772,1,1,4,1,1,4,1,1,4,1,2,2
"62",252777,2,2,4,1,1,4,1,1,2,1,2,3
"63",252778,1,4,4,1,5,4,1,4,3,1,2,3
"64",252785,3,5,4,1,1,5,1,1,4,2,3,4
"65",252789,2,1,5,1,1,5,1,1,1,1,1,5
"66",252791,1,1,5,1,1,5,1,1,1,1,6,5
"67",252794,1,1,5,1,1,5,1,1,2,1,4,3
"68",252799,1,2,2,1,1,1,1,1,1,1,4,2
"69",252800,2,2,5,1,2,5,2,5,2,2,5,4
"70",252802,2,1,4,1,1,4,2,1,4,4,2,3
"71",252806,2,3,5,1,1,5,1,1,5,1,1,1
"72",252809,1,2,5,1,1,6,2,1,2,1,1,2
"73",252810,2,2,4,1,1,4,2,1,3,2,2,2
"74",252815,3,2,5,1,1,4,2,1,1,2,4,2
"75",252819,2,2,4,1,1,2,1,1,1,1,4,2
"76",252823,5,4,5,2,2,4,4,2,4,5,2,4
"77",252826,4,1,5,1,1,4,1,1,4,4,3,1
"78",252832,1,1,4,1,1,5,3,1,3,2,1,2
"79",252838,1,1,1,1,1,2,1,1,2,1,1,2
"80",252845,1,1,1,1,1,6,2,1,6,2,2,5
"81",252846,1,1,2,1,1,2,1,1,1,1,1,1
"82",252847,1,1,5,1,1,5,1,1,1,1,1,1
"83",252849,1,1,6,1,1,6,1,1,1,1,1,1
"84",252858,2,2,5,1,1,4,2,2,2,2,2,3
"85",252865,2,3,5,1,1,4,1,1,1,1,1,1
"86",252872,1,1,5,1,1,5,1,1,1,1,1,3
"87",252875,2,3,4,1,1,5,1,1,1,2,1,2
"88",252877,3,2,4,1,1,4,1,1,1,1,1,3
"89",252881,1,1,5,1,2,5,4,1,3,2,1,4
"90",252883,2,2,3,2,1,2,2,1,4,5,1,1
"91",252886,3,3,3,1,1,5,2,1,5,5,2,3
"92",252889,2,4,3,1,1,5,1,1,5,2,1,4
"93",252890,1,1,5,1,1,5,1,1,4,1,1,2
"94",252896,2,1,5,1,1,4,1,1,1,1,1,4
"95",252900,1,2,5,2,2,5,1,1,2,1,1,3
"96",252901,5,2,2,1,1,2,1,1,2,5,1,2
"97",252906,2,2,5,1,2,3,2,2,5,2,2,4
"98",252912,2,1,6,1,1,5,2,1,5,1,2,5
"99",252924,3,2,4,2,1,5,2,2,4,2,1,4
"100",252926,4,1,5,1,1,5,1,1,5,4,1,3
"101",252930,1,1,6,1,1,5,2,1,6,1,2,4
"102",252940,1,2,5,1,1,5,1,1,3,4,1,1
"103",252946,1,2,5,1,1,5,1,1,2,1,2,2
"104",252949,1,1,5,1,1,4,1,1,4,1,1,4
"105",252953,1,2,1,1,1,2,1,1,1,1,2,2
"106",252956,1,1,4,1,1,4,1,1,1,1,2,2
"107",252959,2,1,5,2,2,4,1,1,2,2,5,5
"108",252962,1,1,4,1,1,4,1,1,1,1,1,4
"109",252970,2,1,5,1,1,4,5,1,4,1,2,1
"110",252973,1,1,6,1,1,5,1,1,5,1,4,2
"111",252974,4,1,5,2,2,5,2,1,6,4,5,5
"112",252976,1,2,5,1,1,1,1,1,4,1,1,1
"113",252978,1,1,6,1,1,5,4,1,4,1,1,4
"114",252980,1,4,4,1,1,4,1,1,2,1,1,4
"115",252981,5,1,6,1,1,6,2,1,5,2,2,5
"116",252984,1,2,4,1,1,4,2,4,3,2,1,2
"117",252985,1,1,2,1,1,1,1,1,1,1,1,1
"118",252986,3,3,4,2,1,4,1,4,3,1,2,4
"119",252987,1,1,6,1,1,4,1,1,5,1,1,1
"120",252989,2,1,2,1,1,2,2,1,2,1,1,1
"121",252990,4,2,4,2,5,4,4,3,3,4,3,3
"122",252992,2,2,5,1,1,4,4,1,2,2,1,4
"123",252993,1,1,4,1,1,5,1,1,1,1,1,1
"124",252994,2,2,5,1,1,5,1,1,4,1,1,4
"125",252996,2,5,6,1,5,5,2,1,4,1,1,5
"126",253002,1,2,4,2,2,4,2,1,3,2,1,2
"127",253006,4,3,6,1,1,5,2,1,4,2,1,5
"128",253010,2,4,6,1,1,6,5,1,4,1,5,4
"129",253012,1,1,1,1,1,1,1,1,1,1,1,1
"130",253014,1,1,6,1,1,6,1,1,2,1,2,4
"131",253015,1,1,6,1,1,6,2,1,1,1,4,2
"132",253019,3,3,5,2,1,4,2,1,2,3,1,4
"133",253021,2,4,6,1,1,6,2,1,3,2,1,2
"134",253025,1,1,5,1,1,4,2,1,1,1,1,4
"135",253030,1,2,5,1,1,2,1,1,2,1,2,2
"136",253031,2,2,5,1,1,5,4,1,5,2,1,3
"137",253035,2,3,4,1,1,3,1,1,1,1,1,4
"138",253036,5,2,5,2,2,4,3,1,5,3,2,3
"139",253039,2,1,6,1,1,6,1,1,6,2,1,5
"140",253058,1,1,5,1,1,3,1,1,2,1,1,4
"141",253063,1,1,6,1,1,5,1,1,5,1,3,5
"142",253068,1,1,5,1,1,4,1,1,1,1,1,1
"143",253069,1,1,4,1,1,1,1,1,1,1,1,1
"144",253072,2,1,5,1,1,5,1,1,2,1,5,2
"145",253075,2,1,6,1,1,5,1,1,5,1,4,3
"146",253081,2,1,4,2,2,4,3,2,4,3,3,5
"147",253084,1,1,4,1,1,4,1,1,1,1,1,1
"148",253086,1,2,4,1,1,5,1,1,4,1,1,2
"149",253088,2,2,5,1,1,5,1,1,5,2,2,2
"150",253091,1,1,4,2,1,5,1,1,1,1,1,1
"151",253092,1,1,6,1,1,2,2,4,4,2,1,4
"152",253097,2,1,5,2,1,5,1,1,4,1,1,2
"153",253099,1,1,5,1,1,4,2,1,1,1,1,1
"154",253105,1,1,6,1,1,5,1,1,1,1,1,4
"155",253108,2,1,6,1,2,6,1,1,1,1,1,1
"156",253116,1,3,5,1,1,4,2,1,4,1,1,4
"157",253117,2,3,5,1,1,5,2,2,4,2,3,3
"158",253119,1,1,6,1,1,6,1,1,1,1,1,4
"159",253123,5,4,5,1,1,5,2,1,5,4,1,2
"160",253133,4,3,5,2,3,5,3,2,4,4,3,4
"161",253135,1,1,5,1,1,4,2,1,3,2,1,4
"162",253136,1,2,4,1,1,4,1,1,5,2,1,4
"163",253137,1,3,4,1,1,4,1,1,2,1,1,4
"164",253148,1,3,2,1,1,2,1,1,1,1,1,1
"165",253153,3,3,4,3,4,3,3,4,4,3,4,4
"166",253155,1,1,4,1,1,4,1,1,1,1,1,1
"167",253162,2,1,4,1,2,4,1,1,1,1,4,4
"168",253172,1,1,6,1,1,6,1,1,6,1,1,6
"169",253174,2,1,5,1,1,5,1,1,5,1,1,2
"170",253178,1,2,4,1,1,4,1,1,1,1,1,3
"171",253183,1,2,6,1,1,5,1,1,1,1,1,4
"172",253185,2,2,4,2,2,2,2,2,2,2,2,2
"173",253191,2,5,2,1,1,2,1,1,1,1,1,2
"174",253194,1,1,6,1,1,4,3,1,1,1,4,3
"175",253199,3,1,5,1,1,5,2,4,5,2,2,5
"176",253201,5,2,6,1,1,6,2,1,6,1,1,6
"177",253207,1,2,6,1,1,6,1,1,5,3,1,6
"178",253210,1,1,5,1,1,4,1,1,1,1,1,1
"179",253215,5,2,5,2,1,5,2,4,6,5,3,6
"180",253221,4,1,5,2,1,1,4,2,2,1,4,4
"181",253223,3,5,5,1,1,4,4,2,5,4,2,5
"182",253229,4,1,6,5,5,6,4,1,6,6,1,3
"183",253231,1,5,5,1,1,6,1,1,5,1,1,4
"184",253236,2,4,4,2,3,2,2,4,3,2,2,3
"185",253237,1,2,4,1,1,3,1,1,3,1,1,2
"186",253242,1,3,6,1,2,6,2,1,5,1,5,5
"187",253246,1,2,2,1,1,2,2,1,1,2,1,2
"188",253247,1,1,5,1,1,4,1,1,1,1,4,1
"189",253250,3,2,3,2,1,4,2,3,4,2,1,2
"190",253252,1,3,6,1,1,4,1,1,2,1,1,4
"191",253257,1,4,5,1,2,1,1,1,1,1,1,1
"192",253260,1,1,5,1,1,4,1,1,2,1,1,1
"193",253264,1,2,4,1,1,2,1,1,1,1,1,1
"194",253265,3,1,5,1,1,5,1,1,1,1,1,4
"195",253268,1,3,6,1,1,1,6,1,1,1,1,1
"196",253272,3,2,4,2,2,4,2,2,2,2,2,2
"197",253275,2,1,5,1,1,6,1,1,5,1,1,1
"198",253279,1,2,5,1,1,5,4,1,5,1,2,4
"199",253287,1,1,5,1,1,5,1,1,5,1,4,5
"200",253288,1,3,4,1,1,4,2,1,2,1,1,1
"201",253289,3,4,4,3,3,3,3,3,3,3,2,4
"202",253292,2,2,5,2,3,5,4,1,3,1,1,4
"203",253315,4,1,6,2,1,5,1,1,1,1,1,4
"204",253317,2,2,2,1,1,1,1,1,1,1,1,1
"205",253325,1,5,6,1,1,5,1,1,5,1,1,5
"206",253331,4,1,6,3,3,5,4,1,6,4,3,4
"207",253347,1,5,2,1,1,3,1,1,1,1,1,1
"208",253348,1,1,4,1,1,4,2,1,1,1,1,2
"209",253349,1,1,6,1,1,6,5,1,5,1,1,5
"210",253352,4,1,5,1,1,6,1,1,5,1,2,5
"211",253368,1,1,1,1,1,2,1,1,1,1,1,2
"212",253369,1,1,6,1,2,5,1,1,5,2,1,2
"213",253370,4,5,5,2,2,5,4,2,5,4,2,4
"214",253375,1,1,4,1,1,4,1,1,2,1,2,2
"215",253379,2,2,5,2,1,4,3,1,1,2,2,5
"216",253380,4,4,5,1,1,2,1,1,1,1,1,1
"217",253386,1,1,3,1,1,2,1,1,1,1,1,1
"218",253394,4,2,4,1,1,4,1,1,3,1,1,5
"219",253397,3,2,6,1,1,6,1,1,1,1,4,5
"220",253401,2,1,5,1,1,5,1,1,5,1,1,1
"221",253403,4,2,6,1,1,5,2,3,5,3,3,4
"222",253406,4,3,4,4,4,4,3,3,3,3,3,3
"223",253409,1,1,6,1,1,6,1,1,6,1,1,1
"224",253415,1,1,2,1,1,2,1,1,1,1,1,1
"225",253419,2,1,6,5,1,5,2,1,2,2,1,2
"226",253447,1,2,5,1,1,4,2,1,4,2,1,2
"227",253459,2,2,6,1,1,5,2,2,5,2,5,5
"228",253461,1,1,2,1,1,2,1,1,1,1,1,1
"229",253463,3,3,4,1,3,3,3,3,5,3,1,3
"230",253466,2,2,6,1,1,6,1,1,6,1,1,2
"231",253469,1,1,6,1,1,5,1,1,5,1,5,5
"232",253472,4,1,5,1,1,4,2,5,5,2,1,1
"233",253475,2,2,5,1,2,5,2,1,2,1,1,5
"234",253478,1,1,2,1,1,1,1,1,1,1,1,1
"235",253495,1,4,2,1,1,2,1,1,1,1,1,1
"236",253501,1,1,6,1,1,6,2,6,4,2,2,5
"237",253502,2,4,2,4,1,2,4,2,2,2,2,2
"238",253505,1,2,5,1,1,4,2,1,4,2,1,4
"239",253512,1,1,5,1,1,4,1,1,1,1,1,3
"240",253516,1,1,5,1,1,2,1,1,4,1,1,1
"241",253517,1,1,4,1,1,4,1,1,1,1,1,1
"242",253518,2,2,5,2,1,5,2,1,3,1,2,1
"243",253530,4,4,4,2,5,5,5,1,1,4,1,1
"244",253535,1,3,4,1,1,4,1,1,1,1,1,2
"245",253536,1,1,6,1,1,4,1,1,1,1,5,1
"246",253541,1,1,5,1,1,5,1,1,2,1,1,2
"247",253542,1,1,3,1,1,1,1,1,1,1,1,1
"248",253550,1,1,6,1,1,6,2,1,6,1,1,6
"249",253551,2,5,5,1,1,5,1,1,5,2,2,5
"250",253552,1,1,4,1,1,3,4,1,5,1,1,5
"251",253555,4,1,6,2,1,6,1,1,1,2,2,4
"252",253556,1,2,5,1,1,5,4,1,6,1,1,1
"253",253560,6,6,2,1,1,2,2,1,2,2,2,2
"254",253562,4,2,5,2,1,4,2,1,2,2,2,4
"255",253566,4,3,4,1,1,4,1,1,1,4,1,1
"256",253571,1,1,4,1,1,4,1,1,1,1,1,1
"257",253573,2,1,4,1,1,4,2,1,2,1,4,2
"258",253580,1,1,6,1,1,4,1,1,1,1,1,1
"259",253593,2,1,5,1,1,5,1,1,1,2,1,5
"260",253596,5,4,6,3,2,5,3,1,4,5,1,4
"261",253599,1,1,2,1,1,3,2,1,1,1,1,2
"262",253604,2,1,2,1,1,2,1,1,2,1,1,2
"263",253609,1,1,6,1,1,6,2,1,4,1,1,2
"264",253611,1,1,4,1,1,4,2,1,1,1,1,2
"265",253619,1,2,5,1,1,5,1,1,1,1,1,5
"266",253622,1,1,5,1,1,5,1,1,2,1,1,2
"267",253630,1,1,3,1,2,3,1,1,2,1,1,1
"268",253632,1,1,6,1,1,6,1,1,5,1,1,1
"269",253634,1,1,4,1,1,1,1,1,2,1,2,1
"270",253635,4,1,5,1,1,5,2,1,2,4,1,5
"271",253637,3,2,6,3,2,6,1,2,5,2,3,4
"272",253638,1,1,6,1,1,5,1,1,1,1,1,1
"273",253646,1,1,6,1,1,1,1,1,2,1,1,1
"274",253656,1,1,5,1,1,5,1,1,5,1,1,1
"275",253671,1,1,5,1,1,5,2,1,4,2,1,5
"276",253673,3,2,4,1,1,4,1,1,4,1,2,4
"277",253677,1,1,6,1,1,6,1,1,1,1,3,6
"278",253678,1,2,6,1,1,5,1,1,4,1,2,1
"279",253682,2,1,5,1,1,5,3,1,5,2,1,4
"280",253683,1,1,5,1,1,4,1,1,2,1,1,1
"281",253684,2,4,5,2,1,4,2,4,4,5,5,5
"282",253689,4,1,5,1,1,5,2,1,1,1,5,4
"283",253692,1,1,5,1,1,5,1,1,5,1,4,4
"284",253694,3,1,6,2,2,6,2,1,5,2,2,5
"285",253695,2,2,5,3,2,4,3,3,4,2,2,2
"286",253697,2,2,6,2,2,5,2,2,5,2,5,5
"287",253711,1,1,1,1,1,1,1,1,1,1,1,1
"288",253736,3,1,6,1,1,6,4,1,5,2,1,5
"289",253737,1,1,4,1,1,5,1,1,1,1,1,4
"290",253739,1,1,5,1,1,4,1,1,1,1,1,1
"291",253759,1,1,6,1,1,6,1,1,6,1,1,4
"292",253762,1,1,5,1,1,5,2,1,5,1,1,5
"293",253770,5,5,6,4,2,5,5,5,5,5,4,5
"294",253779,2,2,6,1,1,5,1,1,4,1,1,5
"295",253784,2,1,5,1,1,4,1,1,4,2,1,5
"296",253790,3,3,3,3,3,3,3,3,3,3,3,3
"297",253876,3,2,5,1,1,5,1,1,4,2,3,4
"298",253877,1,2,5,1,1,5,1,2,4,1,3,5
"299",253905,5,1,5,1,1,6,2,1,5,5,1,5
"300",253940,1,1,5,1,6,5,1,1,5,1,1,4
"301",253966,4,2,5,2,2,4,3,2,4,3,2,4
"302",253980,1,1,4,1,1,5,2,2,2,1,4,2
"303",253986,2,2,3,1,1,2,1,1,1,1,1,2
"304",253995,2,1,4,2,2,3,1,1,2,1,2,2
"305",254008,1,1,5,1,1,5,1,2,1,1,1,4
"306",254098,2,2,4,1,1,4,1,1,4,1,1,2
"307",254101,2,1,2,1,1,1,1,1,5,2,1,1
"308",254125,1,1,6,1,1,4,1,1,1,1,1,1
"309",254126,1,1,6,1,1,5,4,1,5,1,1,4
"310",254127,1,1,4,1,1,3,1,1,1,1,1,1
"311",254180,1,1,5,1,1,4,1,1,1,1,1,2
"312",254185,1,1,4,1,1,4,1,1,1,1,2,1
"313",254289,4,2,5,3,1,5,4,2,6,4,3,5
"314",254331,4,2,4,1,2,3,4,4,3,2,4,4
"315",254339,1,1,5,1,1,1,1,1,6,1,1,1
"316",254340,2,1,5,2,1,6,5,1,5,4,1,5
"317",254343,2,2,4,1,1,4,4,1,5,3,1,4
"318",254353,2,1,6,1,1,6,1,1,6,1,1,2
"319",254354,4,2,6,2,1,5,5,1,6,4,1,1
"320",254358,2,2,4,1,2,5,2,1,6,2,1,4
"321",254360,2,2,2,2,2,2,2,2,2,2,2,2
"322",254362,4,1,1,2,2,1,4,5,6,4,1,2
"323",254363,2,2,5,2,1,5,2,2,2,2,2,2
"324",254366,2,2,6,1,1,6,1,1,5,2,1,5
"325",254368,3,6,6,3,1,6,3,1,6,3,5,6
"326",254369,3,3,3,3,3,3,3,3,3,3,3,3
"327",254370,1,1,6,1,1,4,1,1,1,1,1,1
"328",254371,1,1,3,1,1,3,1,1,1,1,1,1
"329",254374,3,1,4,3,2,2,2,1,1,2,2,2
"330",254387,1,1,5,1,1,5,1,1,1,1,5,5
